timestamp_start,timestamp_end,duration_secs,app_name,window_title,phase
2025-08-19 18:29:56,2025-08-19 18:29:57,1,explorer.exe,dist - File Explorer,work
2025-08-19 18:29:57,2025-08-19 18:30:08,11,main.exe,Pomodoro Tracker,work
2025-08-19 18:30:08,2025-08-19 18:47:40,972,firefox.exe,Thought Journal - Google Docs — Mozilla Firefox,work
2025-08-19 18:39:53,2025-08-19 18:41:44,6,firefox.exe,Mozilla Firefox,work
2025-08-19 18:39:56,2025-08-19 18:40:01,3,firefox.exe,out of whack at DuckDuckGo — Mozilla Firefox,work
2025-08-19 18:40:33,2025-08-19 18:40:51,9,firefox.exe,The Night Begins to Shine - YouTube — Mozilla Firefox,work
2025-08-19 18:40:40,2025-08-19 18:40:49,8,firefox.exe,YouTube — Mozilla Firefox,work
2025-08-19 18:41:44,2025-08-19 18:41:51,7,firefox.exe,whento use en dash at DuckDuckGo — Mozilla Firefox,work
2025-08-19 18:41:51,2025-08-19 18:42:27,36,firefox.exe,"How to Use Em Dashes (—), En Dashes (–) , and Hyphens (-) | Merriam-Webster — Mozilla Firefox",work
